ID,WC,WPS,Qmarks,Unique,Dic,Sixltr,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,Class
1,144,24,0,63.89,82.64,40.97,41.67,6.25,4.17,0,0.69,0,2.08,1.39,2.08,7.64,7.64,4.17,2.78,4.17,0.69,2.08,15.28,4.17,1.39,0,1.39,0,9.03,0.69,0,0,6.25,2.08,4.17,0,3.47,0.69,11.81,2.08,1.39,0,1.39,1.39,0.69,2.78,2.78,1.39,0,1.39,0,1.39,0,1.39,0,0,14.58,2.08,9.03,3.47,12.5,2.78,1.39,0.69,0.69,0,1.39,0,0,0,1
2,121,20.17,0,66.12,71.07,27.27,35.54,9.92,8.26,0,0,0,8.26,0,1.65,6.61,7.44,3.31,5.79,1.65,0,1.65,14.05,0,0,0.83,4.13,0,17.36,4.13,0,0.83,0.83,0,0.83,0,0.83,0,7.44,1.65,0.83,0,0,0.83,1.65,1.65,0,1.65,0,1.65,0,9.92,0.83,9.09,0,0,13.22,2.48,4.96,5.79,5.79,0,1.65,0.83,0,0,4.13,0,0,0,1
3,125,15.62,0,67.2,70.4,24,42.4,11.2,9.6,3.2,0,0,5.6,0.8,1.6,4.8,9.6,5.6,5.6,4,0,1.6,12.8,2.4,1.6,0.8,4,0,15.2,4,0.8,0,2.4,0.8,1.6,0,0,1.6,7.2,0,0.8,0,0.8,1.6,0,3.2,0.8,2.4,0,2.4,0,1.6,0.8,0.8,0,0,14.4,0.8,8,5.6,3.2,0.8,2.4,1.6,0.8,0,1.6,0,0,0,1
4,57,14.25,1.75,85.96,73.68,24.56,33.33,10.53,3.51,0,0,0,3.51,0,7.02,1.75,8.77,5.26,8.77,0,0,1.75,10.53,1.75,0,1.75,3.51,0,8.77,0,0,0,7.02,3.51,3.51,0,3.51,0,10.53,1.75,0,0,1.75,0,0,0,3.51,1.75,1.75,0,0,0,0,0,0,0,14.04,1.75,8.77,3.51,5.26,1.75,5.26,3.51,1.75,0,7.02,0,0,0,0
5,173,17.3,1.16,60.12,91.91,10.4,59.54,19.65,14.45,0,8.09,1.73,4.62,0,5.2,2.31,15.61,8.67,4.62,10.4,0.58,4.05,16.18,6.94,2.89,3.47,0,0,27.17,0.58,0,0.58,7.51,4.05,3.47,1.16,0,0.58,19.65,2.89,1.73,0.58,3.47,1.73,1.16,8.09,2.89,2.89,0,2.31,0.58,3.47,0,2.89,0.58,0,8.67,2.31,4.05,2.31,0,0.58,0.58,0,0,0,1.73,0,0,0,1
6,124,12.4,1.61,60.48,91.13,21.77,55.65,10.48,4.84,0,0,4.84,0,0,5.65,8.06,19.35,14.52,0,15.32,2.42,0.81,12.9,7.26,1.61,0.81,0,0,8.06,0,0,0.81,16.94,1.61,15.32,12.9,0,0.81,22.58,3.23,2.42,1.61,4.84,0,0.81,6.45,4.03,2.42,0,0,2.42,1.61,0.81,0.81,0,0,8.87,0.81,3.23,4.84,1.61,1.61,0,0,0,0,0,0,0,0,1
7,45,22.5,0,86.67,51.11,46.67,26.67,0,0,0,0,0,0,0,0,2.22,2.22,2.22,0,2.22,0,2.22,17.78,2.22,0,0,2.22,0,2.22,0,0,0,11.11,2.22,8.89,4.44,4.44,0,4.44,2.22,0,0,0,0,0,2.22,0,0,0,0,0,0,0,0,0,0,17.78,0,13.33,4.44,0,2.22,0,0,0,2.22,2.22,0,0,0,0
8,125,25,0,70.4,84.8,18.4,44.8,6.4,3.2,2.4,0,0,0.8,0,3.2,8,11.2,6.4,6.4,3.2,0.8,3.2,14.4,3.2,0,4,4.8,0,8,0,0.8,3.2,4.8,2.4,2.4,0.8,0,1.6,15.2,2.4,2.4,0.8,1.6,4.8,0,1.6,0.8,0.8,0.8,0,0,0,0,0,0,0,19.2,1.6,5.6,12,0.8,0.8,0,0,0,0,8,0.8,0.8,0,1
9,121,20.17,0,71.07,82.64,23.97,52.07,10.74,6.61,0.83,5.79,0,0,0,4.13,4.96,10.74,8.26,0,9.09,0,5.79,13.22,9.09,4.13,1.65,0.83,0,7.44,0,0,0.83,8.26,1.65,6.61,2.48,1.65,2.48,22.31,1.65,3.31,3.31,4.13,1.65,1.65,4.96,7.44,0,0,0,0,7.44,2.48,4.96,0,0,11.57,2.48,5.79,1.65,1.65,0.83,0,0,0,0,0,0,0,0,1
10,37,37,0,86.49,78.38,32.43,48.65,13.51,8.11,0,0,8.11,0,0,5.41,8.11,5.41,2.7,0,2.7,0,2.7,16.22,2.7,0,5.41,0,0,8.11,0,0,0,5.41,5.41,0,0,0,0,18.92,0,0,2.7,0,8.11,2.7,5.41,0,2.7,2.7,0,0,2.7,0,2.7,0,0,18.92,2.7,13.51,2.7,0,0,2.7,0,0,0,5.41,0,0,0,0
